date,time,venue,topic,presenter,paper_authors,paper_title,paper_venue,paper_year,slides_link,paper_link,arxiv_link
2014-10-10,,,,"Tim Cootes, Manchester University (Invited Talk)",Extracting the shape of structures in medical images,,,,,,
2014-10-10,,,,"Adrian Hilton, University of Surrey (Invited Talk)",4D Vision: Performance Capture for Human Movement Analysis & Animation,,,,,,
2014-06-12,,,,"Josef Sivic, INRIA/ENS Paris (Invited Talk)",Learning mid-level image representations for visual recognition,,,,,,
2014-06-12,,,,"Cristian Sminchisescu, Lund University (Invited Talk)",Iterated Second-order Label Sensitive Pooling for 3D Human Pose Estimation,,,,,,
2014-05-27,,,,Vahid Kazemi,Adam Coates,,"Honglak Lee, and Andrew Ng ""An Analysis of Single-Layer Networks in Unsupervised Feature Learning"" AI Statistics",2011,,,
2014-05-23,,,,"Pawan Kumar, Ecole Centrale Paris, INRIA Saclay (Invited Talk for SAIS Workshop)",Multiplicative Bounds for Metric Labeling,,,,,,
2014-05-22,,,,"Karteek Alahari, INRIA Grenoble Rhone-Alpes (Invited Talk)",Scene Understanding: What more can we do with videos,,depth and,text?,,,
2014-05-20,,,,Hossein Azizpour,K. Chatfield,,"K. Simonyan, A. Vedaldi, A. Zisserman ""Return of the Devil in the Details: Delving Deep into Convolutional Nets"" arXiv",2014,,,
2014-05-20,,,,"Bodo Rosenhahn, Leibniz Universität Hannover, Germany (Invited Talk)",Human Motions and Multi-People Tracking,,,,,,
2014-05-06,,,,Oscar Danielsson,"Christian Szegedy et al. ""Intriguing properties of neural networks"" ICLR 2014",,,,,,
2014-04-30,,,,Atsuto Maki,Shuiwang Ji,3D Convolutional Neural Networks for Human Action Recognition,"et al. PAMI 2013Andrej Karpathy et al. ""Large-scale Video Classiﬁcation with Convolutional Neural Networks"" CVPR",2014,,,
2014-04-22,,,,Josephine SullivanHossein Azizpour,"Stochastic Gradient Methods with a focus on HogwildR. Girshick et al. ""Rich feature hierarchies for accurate object detection and semantic segmentation""updated arXiv report",,,,http://arxiv.org/pdf/1311.2524v2.pdf,,
2014-04-15,,,,Hossein Azizpour,Our future tracks for Deep Learning,,,,,,
2014-04-01,,,,Vahid KazemiOscar DanielssonHossein Azizpour,1) Y. Taigman," CVPR 20142) A. Toshev, C. Szegedy ","M. Yang, M. Ranzato, L. Wolf ""DeepFace: Closing the Gap to Human-Level Performance in Face VerificationDeepPose: Human Pose Estimation via Deep Neural Networks"" CVPR 20143) N. Zhang, M. Paluri, M. Ranzato, T. Darrell, L. Bourdev ""PANDA: Pose Aligned Networks for Deep Attribute Modeling"" CVPR",2014,https://www.csc.kth.se/cvap/cvg/rg/materials/vahid_007_slides.pptx,,
2014-03-25,,,,Heydar Maboudi,"Bengio et al. ""Representation Learning: A Review and New Perspectives"" PAMI 2013",,,,,,
2014-03-24,,,,"Iasonas Kokkinos, Ecole Centrale Paris (Invited Talk)",Fast and Exact Algorithms for Object Detection with Deformable Models.,,,,,,
2014-03-18,,,,Hossein Azizpour,Deep Representation as Baseline for All Recognition Tasks,,,,https://www.csc.kth.se/cvap/cvg/rg/materials/hossein_011_slides.pdf,,
2014-01-21,,,,"Pascal Fua, EPFL (Invited Talk)",Indentity Preserving Multi-People Tracking through Linear Programming,,,,,,
2013-12-13,,,,Vahid KazemiHossein Azizpour,1) M. Zeiler and R. Fergus,Visualizing and Understanding Convolutional Networks,", TR 20132) R. Girshick, J. Donahue, T. Darrell, and J. Malik ""Rich feature hierarchies for accurate object detection and semantic segmentation"", TR 20133) M. Oquab, L. Bottou, I. Laptev and J. Sivic ""Learning and Transferring Mid-Level Image Representations using Convolutional Neural Networks"", TR 2013with a discussion about recent developments in deep learning for computer",vision,https://www.csc.kth.se/cvap/cvg/rg/materials/hossein_009_slides.pdf,,
2013-11-11,,,,Miroslav Kobetski,Addressing occlusion in wearable videos,,,,,,
2013-10-25,,,,Heydar Maboudi,M. Juneja,Blocks that Shout: Distinctive Parts for Scene Classification,"A. Vedaldi, C. Jawahar, A. Zisserman. CVPR",2013,,,
2013-10-18,,,,1) Ali Sharif Razavian2) Hossein Azizpour,1) C. Vondrick,HOGgles: Visualizing Object Detection Features,"A. Khosla, T. Malisiewicz, A. Torralba. , ICCV 20132) Xiaofeng Ren and Deva Ramanan ""Histograms of Sparse Codes for Object Detection"", CVPR",2013,https://www.csc.kth.se/cvap/cvg/rg/materials/hossein_008_slides.pdf,,
2013-10-04,,,,Omid Aghazadeh,One class SVMs and an extension to it (ongoing research),,,,,,
2013-09-06,,,,"Cristian Sminchisescu, Lund University (Invited Talk)",Figure-Ground Segmentation and Pooling for Visual Scene Analysis,,,,,,
2013-06-14,,,,Magnus Burenius,"Gu et al. ""Linear time offline tracking and lower envelope algorithms""",,ICCV,2011,,,
2013-05-31,,,,Miroslav Kobetski,A. Prest,Learning Object Class Detectors from Weakly Annotated Video,"Ch. Leistner, J. Civera, C. Schmid and V. Ferrari, , CVPR",2012,,,
2013-05-24,,,,Ali Sharif Razavian,R. Arandjelovic. A. Zisserman,All About VLAD,", CVPR 2013with a summary of H. Jegou, M. Douze, C. Schmid, P. Pérez, ""Aggregating local descriptors into a compact image representation"", CVPR",2010,,,
2013-05-17,,,,Josephine Sullivan,Rodrigo Quian Quiroga,Concept cells: the building blocks of declarative memory functions,", Nature Neuroscience 2012with an Introduction to Brain Cells and Their",Functionalities,,,
2013-05-13,,,,"Trevor Darrell, UC Berkeley (Invited Talk)",Efficient large-scale visual category recognition,,,,,,
2013-05-08,,,,Hossein Azizpour,N. Razavi,Latent Hough Transform for Object Detection,"J. Gall, P. Kohli, L. Van Gool , ECCV 2012with a glance at:B. Leibe, A. Leonardis, B. Schiele. ""Robust Object Detection with Interleaved Categorization and Segmentation"", IJCV 2008Gall J., Yao A., Razavi N., van Gool L., and Lempitsky V., ""Hough Forests for Object Detection, Tracking, and Action Recognition"" PAMI 2011Barinova O, Lempitsky V, Kohli P. ""On detection of multiple object instances using Hough transform"", PAMI",2012,,,
2013-04-24,,,,"Horesh Ben Shitrit, EPFL (Invited Talk)",Multi-Camera People Identification and Tracking.,,,,,,
2013-03-22,,,,Magnus Burénius,Vedaldi,Learning Equivariant Structured Output SVM Regressors,"Blaschko, Zisserman. , ICCV",2011,https://www.csc.kth.se/cvap/cvg/rg/materials/magnus_005_slides.pdf,,
2013-03-15,,,,Miroslav Kobetski,L. Liu," CVPR 2012D. Hoiem, Y. Chodpathumwan, and Q. Dai, ","L. Wang, ""What Has My Classifier Learned? Visualizing the Classification Rules of Bag-of-Feature Model by Support Region Detection.Diagnosing Error in Object Detectors"", ECCV 2012Discussion on the relevance of the current performance evaluation",criteria,,,
2013-03-08,,,,Vahid Kazemi,S. Nowozin,Decision Tree Fields,"C. Rother, S. Bagon, T. Sharp, B. Yao, P. Kohli, , ICCV",2011,http://www.nowozin.net/sebastian/talks/ICCV-2011-DTF.pdf,,
2013-03-01,,,,Omid Aghazadeh,McFee and Lanckriet,Metric Learning to Rank,ICML 2010Plus an introduction on metric,learning,,,
